t,Cent.Nivo,Cent.Treg,Cent.Teff_1_0,Peri.Nivo,Peri.Treg,Peri.Teff_1_0,Tum.Nivo,Tum.C1,Tum.Cp,Tum.APC,Tum.mAPC,Tum.Ckine_Mat,Tum.Treg,Tum.Teff_PD1,Tum.Teff_PD1_syn,Tum.Teff_PD1_Nivo,Tum.Teff_PD1_Nivo_syn,Tum.Teff_PD1_Nivo_PD1_syn,Tum.C1_PDL1_syn,Tum.C1_PDL2_syn,Tum.C1_PDL1_Teff_PD1,Tum.C1_PDL2_Teff_PD1,Tum.D1_0,Tum.Teff_1_0,Tum.Teff_exhausted,LN.Nivo,LN.APC,LN.mAPC,LN.nT_CD8,LN.nT_CD4,LN.aTreg_CD4,LN.Treg,LN.IL2,LN.Cp,LN.D1_0,LN.aT_1_0,LN.Teff_1_0,mAPC_Endo.Cp,mAPC_Endo.cpt,mAPC_Endo.M1,mAPC_Endo.cpt_M1,mAPC_Endo.D1_0,mAPC_Endo.p1_0,mAPC_Endo.p1_0_M1,mAPC_Surf.cpt_M1,mAPC_Surf.M1,mAPC_Surf.p1_0_M1,Cent.nT_CD8,Cent.nT_CD4,Tum.DAMP,Tum.C1_PDL1,Tum.C1_PDL2,LN.TCR_p1_0_M,mAPC_Surf.cpt_M,mAPC_Surf.p1_0_M
0,0,1.56555e+08,4.31173e+09,0,2.63524e+11,2.65872e+12,0,7.8109e+09,8.85972e-10,367091,69082.3,1.00737,1.21144e+07,60000,14989.5,0,0,0,67406.4,4381.42,25616.9,3967.93,3.26038e-10,5.44069e+07,2.71424e+08,0,2.51812e+07,1.38165e+07,3.94131e+09,6.71142e+09,1.42396e+07,1.10418e+08,292.616,3.18949e-09,1.17373e-09,6.63218e+06,1.13127e+09,4.11315e-23,3.94887e-24,9.99987e-20,4.90622e-24,1.51364e-23,1.45315e-24,1.80563e-24,1.63258e-20,1.33534e-23,8.89499e-21,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,9831.4,5356.56
86400,9.19572e-06,1.56675e+08,4.31315e+09,1.73392e-07,2.63555e+11,2.6593e+12,2.24258e-06,7.66881e+09,2.20081e-07,223995,91321.4,0.136333,1.21145e+07,4.99419,0.0180502,59995,434.156,22068.1,93020.3,8348.4,3.00127,0.949166,8.09899e-08,5.69639e+07,2.68948e+08,3.12505e-07,2.51814e+07,1.39347e+07,3.94125e+09,6.71111e+09,1.46297e+07,1.13108e+08,2.9118e-07,5.2573e-07,1.93468e-07,6.71448e+06,1.14376e+09,9.98057e-21,9.85364e-22,8.49642e-20,1.02984e-21,3.67285e-21,3.62608e-22,3.79012e-22,3.3625e-20,2.47955e-23,1.52684e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,20248.9,9194.65
172800,7.66003e-06,1.57346e+08,4.31807e+09,2.77105e-07,2.63779e+11,2.66079e+12,1.88609e-06,7.5081e+09,2.62735e-07,189491,73360.1,0.0184507,1.21102e+07,5.93804,0.0196867,59994.1,398.386,22085.8,93020.1,8348.31,3.27337,1.03521,9.66866e-08,5.94528e+07,2.6641e+08,2.62836e-07,2.51816e+07,1.39779e+07,3.94102e+09,6.71004e+09,1.65067e+07,1.27184e+08,2.84638e-07,8.30059e-07,3.05462e-07,7.11485e+06,1.20973e+09,1.21292e-20,1.22311e-21,7.57245e-20,1.14883e-21,4.46353e-21,4.50096e-22,4.22806e-22,6.50799e-20,4.81159e-23,2.68801e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,39191.1,16187.2
259200,6.64885e-06,1.58656e+08,4.32828e+09,3.36253e-07,2.6446e+11,2.66442e+12,1.62156e-06,7.33657e+09,2.83102e-07,178772,67850.1,0.00249714,1.21015e+07,6.90663,0.021242,59993.1,369.454,22100.1,93019.8,8348.23,3.53197,1.11699,1.04181e-07,6.1772e+07,2.6391e+08,2.25965e-07,2.51818e+07,1.39788e+07,3.94077e+09,6.70883e+09,1.96201e+07,1.50991e+08,2.75004e-07,9.27277e-07,3.41238e-07,7.79195e+06,1.3235e+09,1.30933e-20,1.3283e-21,7.29716e-20,1.20239e-21,4.81833e-21,4.88808e-22,4.42518e-22,9.82305e-20,7.28477e-23,3.91499e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,59154.4,23576.1
345600,5.96081e-06,1.60595e+08,4.34482e+09,3.67881e-07,2.65786e+11,2.67117e+12,1.44253e-06,7.15483e+09,3.01291e-07,173113,65409.3,0.000338064,1.20888e+07,7.76366,0.0225298,59992.2,348.499,22110.4,93019.6,8348.16,3.74608,1.18469,1.10875e-07,6.39216e+07,2.61445e+08,2.01013e-07,2.51819e+07,1.39655e+07,3.94054e+09,6.70776e+09,2.35768e+07,1.81448e+08,2.64424e-07,9.74133e-07,3.58481e-07,8.67e+06,1.47199e+09,1.39387e-20,1.41836e-21,7.15557e-20,1.259e-21,5.12943e-21,5.2195e-22,4.6335e-22,1.32672e-19,9.85545e-23,5.193e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,79894.8,31272.3
432000,5.47551e-06,1.6315e+08,4.36841e+09,3.82555e-07,2.67883e+11,2.68171e+12,1.31754e-06,6.96346e+09,3.19732e-07,168391,63584,4.58716e-05,1.20721e+07,8.50006,0.0235805,59991.5,333.083,22118,93019.4,8348.11,3.92079,1.23994,1.17661e-07,6.59029e+07,2.59017e+08,1.83593e-07,2.51821e+07,1.39443e+07,3.94035e+09,6.70685e+09,2.80946e+07,2.16332e+08,2.54282e-07,1.00962e-06,3.7154e-07,9.69296e+06,1.64553e+09,1.47934e-20,1.5092e-21,7.03558e-20,1.31722e-21,5.44398e-21,5.55376e-22,4.84778e-22,1.68467e-19,1.25286e-22,6.52451e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,101451,39290.6
518400,5.11808e-06,1.66304e+08,4.39953e+09,3.86845e-07,2.70828e+11,2.6965e+12,1.22659e-06,6.76305e+09,3.38798e-07,163713,61826.9,6.33438e-06,1.20517e+07,9.13025,0.024444,59990.9,321.4,22123.8,93019.3,8348.06,4.06435,1.28533,1.24678e-07,6.77176e+07,2.56623e+08,1.70917e-07,2.51823e+07,1.39165e+07,3.94018e+09,6.7061e+09,3.29689e+07,2.54038e+08,2.45465e-07,1.04106e-06,3.83112e-07,1.08189e+07,1.8369e+09,1.56767e-20,1.6033e-21,6.91865e-20,1.37617e-21,5.76903e-21,5.90007e-22,5.06473e-22,2.05635e-19,1.53058e-22,7.91031e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,123834,47635.9
604800,4.84194e-06,1.70036e+08,4.43845e+09,3.84829e-07,2.74665e+11,2.71587e+12,1.15722e-06,6.55418e+09,3.58637e-07,158935,60008.2,9.90718e-07,1.20276e+07,9.67746,0.0251697,59990.3,312.197,22128.3,93019.1,8348.02,4.18501,1.32349,1.31978e-07,6.9368e+07,2.54263e+08,1.61249e-07,2.51825e+07,1.38822e+07,3.94005e+09,6.70547e+09,3.80487e+07,2.9338e+08,2.38521e-07,1.0697e-06,3.9365e-07,1.2016e+07,2.04059e+09,1.65955e-20,1.70152e-21,6.80169e-20,1.43584e-21,6.10714e-21,6.26149e-22,5.28434e-22,2.44184e-19,1.81876e-22,9.35082e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,147048,56310.6
691200,4.61803e-06,1.74324e+08,4.48534e+09,3.79038e-07,2.79413e+11,2.74e+12,1.10168e-06,6.33744e+09,3.79379e-07,154160,58087.4,2.74946e-07,1.19998e+07,10.1653,0.0257994,59989.8,304.628,22132,93019,8347.99,4.28971,1.35659,1.39611e-07,7.08564e+07,2.51937e+08,1.53509e-07,2.51826e+07,1.38412e+07,3.93993e+09,6.70493e+09,4.32221e+07,3.3348e+08,2.33769e-07,1.09574e-06,4.03233e-07,1.32595e+07,2.25235e+09,1.75559e-20,1.80453e-21,6.68382e-20,1.49643e-21,6.46055e-21,6.64057e-22,5.50734e-22,2.84125e-19,2.1175e-22,1.08466e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,171100,65318.1
777600,4.42825e-06,1.79144e+08,4.54023e+09,3.71042e-07,2.85074e+11,2.76901e+12,1.05512e-06,6.11341e+09,4.01169e-07,149277,56158.7,1.85837e-07,1.19684e+07,10.6137,0.0263649,59989.4,298.137,22135.2,93018.9,8347.96,4.38373,1.38632,1.4763e-07,7.21852e+07,2.49644e+08,1.47021e-07,2.51828e+07,1.37933e+07,3.93983e+09,6.70447e+09,4.8406e+07,3.73684e+08,2.31365e-07,1.11923e-06,4.11878e-07,1.45303e+07,2.4689e+09,1.85645e-20,1.91309e-21,6.56446e-20,1.55817e-21,6.83172e-21,7.04008e-22,5.73456e-22,3.25476e-19,2.42693e-22,1.23984e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,196001,74663.1
864000,4.26128e-06,1.84469e+08,4.60309e+09,3.61814e-07,2.91634e+11,2.80292e+12,1.01454e-06,5.88264e+09,4.24171e-07,144025,54211.4,1.81949e-07,1.19334e+07,11.0383,0.0268892,59989,292.361,22138,93018.9,8347.93,4.4709,1.41389,1.56095e-07,7.33567e+07,2.47383e+08,1.41365e-07,2.5183e+07,1.37387e+07,3.93974e+09,6.70408e+09,5.35386e+07,4.13508e+08,2.31353e-07,1.1402e-06,4.19592e-07,1.58133e+07,2.68767e+09,1.96289e-20,2.02807e-21,6.44305e-20,1.6213e-21,7.22343e-21,7.46319e-22,5.96689e-22,3.68261e-19,2.74723e-22,1.40072e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,221767,84351.6
950400,4.11004e-06,1.90272e+08,4.67379e+09,3.51953e-07,2.99071e+11,2.84171e+12,9.78023e-07,5.64572e+09,4.48576e-07,138485,52178.5,1.9007e-07,1.18946e+07,11.4503,0.0273883,59988.5,287.066,22140.6,93018.8,8347.91,4.55389,1.44013,1.65076e-07,7.43734e+07,2.45156e+08,1.36277e-07,2.51832e+07,1.36774e+07,3.93967e+09,6.70374e+09,5.85746e+07,4.52595e+08,2.33698e-07,1.15864e-06,4.26379e-07,1.7097e+07,2.90664e+09,2.07579e-20,2.15045e-21,6.31902e-20,1.68607e-21,7.6389e-21,7.91355e-22,6.20526e-22,4.12511e-19,3.07863e-22,1.56744e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,248414,94391.4
1.0368e+06,3.97007e-06,1.96526e+08,4.75218e+09,3.41828e-07,3.07355e+11,2.88533e+12,9.444e-07,5.40321e+09,4.74604e-07,132764,50073,2.00372e-07,1.18521e+07,11.8579,0.0278733,59988.1,282.103,22143,93018.7,8347.88,4.63452,1.46563,1.74654e-07,7.52375e+07,2.4296e+08,1.31592e-07,2.51833e+07,1.3609e+07,3.9396e+09,6.70343e+09,6.3481e+07,4.90686e+08,2.3831e-07,1.17457e-06,4.32242e-07,1.83721e+07,3.12424e+09,2.19616e-20,2.2814e-21,6.19177e-20,1.75274e-21,8.08186e-21,8.39545e-22,6.45065e-22,4.58264e-19,3.42143e-22,1.74015e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,275967,104792
1.1232e+06,1.30343e-05,2.03205e+08,4.83806e+09,5.05057e-07,3.16452e+11,2.93367e+12,3.15549e-06,5.15549e+09,5.02833e-07,126905,47912.1,2.11747e-07,1.18058e+07,3.54941,0.0152048,59996.5,514.471,22028.3,93020.8,8348.55,2.52818,0.799559,1.85043e-07,7.59866e+07,2.40763e+08,4.3971e-07,2.51835e+07,1.35336e+07,3.93954e+09,6.70317e+09,6.82345e+07,5.27598e+08,2.45064e-07,1.1884e-06,4.37329e-07,1.96314e+07,3.33923e+09,2.32658e-20,2.42379e-21,6.05971e-20,1.82241e-21,8.56182e-21,8.91944e-22,6.70703e-22,5.05577e-19,3.77603e-22,1.91906e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,304458,115566
