t,Cent.Nivo,Cent.Treg,Cent.Teff_1_0,Peri.Nivo,Peri.Treg,Peri.Teff_1_0,Tum.Nivo,Tum.C1,Tum.Cp,Tum.APC,Tum.mAPC,Tum.Ckine_Mat,Tum.Treg,Tum.Teff_PD1,Tum.Teff_PD1_syn,Tum.Teff_PD1_Nivo,Tum.Teff_PD1_Nivo_syn,Tum.Teff_PD1_Nivo_PD1_syn,Tum.C1_PDL1_syn,Tum.C1_PDL2_syn,Tum.C1_PDL1_Teff_PD1,Tum.C1_PDL2_Teff_PD1,Tum.D1_0,Tum.Teff_1_0,Tum.Teff_exhausted,LN.Nivo,LN.APC,LN.mAPC,LN.nT_CD8,LN.nT_CD4,LN.aTreg_CD4,LN.Treg,LN.IL2,LN.Cp,LN.D1_0,LN.aT_1_0,LN.Teff_1_0,mAPC_Endo.Cp,mAPC_Endo.cpt,mAPC_Endo.M1,mAPC_Endo.cpt_M1,mAPC_Endo.D1_0,mAPC_Endo.p1_0,mAPC_Endo.p1_0_M1,mAPC_Surf.cpt_M1,mAPC_Surf.M1,mAPC_Surf.p1_0_M1,Cent.nT_CD8,Cent.nT_CD4,Tum.DAMP,Tum.C1_PDL1,Tum.C1_PDL2,LN.TCR_p1_0_M,mAPC_Surf.cpt_M,mAPC_Surf.p1_0_M
0,0,1.56555e+08,4.31173e+09,0,2.63524e+11,2.65872e+12,0,7.8109e+09,8.85972e-10,367091,69082.3,1.00737,1.21144e+07,60000,14989.5,0,0,0,67406.4,4381.42,25616.9,3967.93,3.26038e-10,5.44069e+07,2.71424e+08,0,2.51812e+07,1.38165e+07,3.94131e+09,6.71142e+09,1.42396e+07,1.10418e+08,292.616,3.18949e-09,1.17373e-09,6.63218e+06,1.13127e+09,4.11315e-23,3.94887e-24,9.99987e-20,4.90622e-24,1.51364e-23,1.45315e-24,1.80563e-24,1.63258e-20,1.33534e-23,8.89499e-21,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,9831.4,5356.56
86400,2.75872e-07,1.56645e+08,4.31299e+09,5.20176e-09,2.63549e+11,2.65928e+12,6.72773e-08,7.69182e+09,2.09747e-07,224384,91438.4,0.136333,1.21151e+07,166.024,0.104595,59834,75.4987,22237.9,93005.9,8343.85,17.3888,5.49715,7.71867e-08,5.65724e+07,2.69357e+08,9.37514e-09,2.51814e+07,1.39349e+07,3.94126e+09,6.71118e+09,1.45315e+07,1.124e+08,2.91548e-07,4.72118e-07,1.73739e-07,6.69381e+06,1.14048e+09,9.4624e-21,9.30482e-22,8.66419e-20,9.88394e-22,3.48216e-21,3.42411e-22,3.63758e-22,3.07885e-20,2.27472e-23,1.42229e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,18540.8,8565.04
172800,2.29801e-07,1.57252e+08,4.31745e+09,8.31314e-09,2.63742e+11,2.66061e+12,5.65827e-08,7.53521e+09,2.5655e-07,190048,73555.2,0.0184507,1.21115e+07,197.3,0.114027,59802.7,69.2605,22240,93004.4,8343.36,18.9564,5.99247,9.44104e-08,5.88845e+07,2.67016e+08,7.88508e-09,2.51816e+07,1.39788e+07,3.94105e+09,6.71016e+09,1.62555e+07,1.25281e+08,2.85482e-07,8.04905e-07,2.96205e-07,7.06094e+06,1.20076e+09,1.18414e-20,1.1923e-21,7.64269e-20,1.13032e-21,4.35764e-21,4.38761e-22,4.15994e-22,6.15922e-20,4.5534e-23,2.55915e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,37090.8,15411.2
259200,1.99466e-07,1.58492e+08,4.32704e+09,1.00876e-08,2.64366e+11,2.66398e+12,4.86468e-08,7.369e+09,2.75815e-07,179455,68094.5,0.00249714,1.21036e+07,229.363,0.123003,59770.6,64.2105,22241.5,93002.9,8342.88,20.4484,6.46384,1.015e-07,6.10083e+07,2.64735e+08,6.77896e-09,2.51818e+07,1.39805e+07,3.9408e+09,6.70896e+09,1.9248e+07,1.48141e+08,2.76103e-07,9.07137e-07,3.33826e-07,7.71047e+06,1.30978e+09,1.27594e-20,1.29303e-21,7.34997e-20,1.17909e-21,4.69547e-21,4.75826e-22,4.33942e-22,9.41812e-20,6.9851e-23,3.76507e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,56715.9,22673.3
345600,1.78824e-07,1.60358e+08,4.34284e+09,1.10364e-08,2.65616e+11,2.67036e+12,4.3276e-08,7.19385e+09,2.92085e-07,173938,65704.8,0.000338061,1.20918e+07,257.707,0.130437,59742.3,60.554,22242.6,93001.6,8342.49,21.6839,6.85415,1.07487e-07,6.2947e+07,2.62508e+08,6.0304e-09,2.51819e+07,1.39682e+07,3.94057e+09,6.70788e+09,2.31078e+07,1.77839e+08,2.6562e-07,9.51104e-07,3.50006e-07,8.56531e+06,1.45429e+09,1.35168e-20,1.37373e-21,7.21581e-20,1.22981e-21,4.9742e-21,5.05525e-22,4.52607e-22,1.27905e-19,9.50283e-23,5.01621e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,77024.2,30207.6
432000,1.64265e-07,1.62836e+08,4.36556e+09,1.14767e-08,2.67621e+11,2.68044e+12,3.95263e-08,7.01039e+09,3.08308e-07,169384,63939.9,4.58668e-05,1.20762e+07,282.04,0.136503,59718,57.8647,22243.2,93000.6,8342.18,22.6921,7.17265,1.13457e-07,6.47057e+07,2.60334e+08,5.50778e-09,2.51821e+07,1.39483e+07,3.94037e+09,6.70697e+09,2.75456e+07,2.12099e+08,2.55468e-07,9.82027e-07,3.61386e-07,9.56815e+06,1.62439e+09,1.42693e-20,1.45353e-21,7.10843e-20,1.28193e-21,5.25111e-21,5.34891e-22,4.71791e-22,1.62817e-19,1.21106e-22,6.31468e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,98048.5,38027
518400,1.53543e-07,1.65908e+08,4.39571e+09,1.16054e-08,2.70461e+11,2.69471e+12,3.67978e-08,6.81921e+09,3.24903e-07,164905,62254.4,6.32858e-06,1.2057e+07,302.848,0.141488,59697.2,55.8271,22243.7,92999.8,8341.91,23.5206,7.43436,1.19564e-07,6.62896e+07,2.58207e+08,5.1275e-09,2.51823e+07,1.39219e+07,3.94021e+09,6.70621e+09,3.23522e+07,2.49277e+08,2.46564e-07,1.00861e-06,3.71168e-07,1.06763e+07,1.8127e+09,1.50386e-20,1.53525e-21,7.00554e-20,1.33447e-21,5.5342e-21,5.64964e-22,4.91127e-22,1.98931e-19,1.48097e-22,7.66103e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,119796,46134.7
604800,1.45258e-07,1.69557e+08,4.43358e+09,1.15449e-08,2.74183e+11,2.71348e+12,3.47167e-08,6.6209e+09,3.41994e-07,160357,60518.5,9.83759e-07,1.20344e+07,320.906,0.145678,59679.1,54.2223,22244,92999.1,8341.69,24.2169,7.6543,1.25854e-07,6.7704e+07,2.56126e+08,4.83748e-09,2.51825e+07,1.38894e+07,3.94007e+09,6.70557e+09,3.7374e+07,2.88166e+08,2.39479e-07,1.03237e-06,3.79912e-07,1.18574e+07,2.01365e+09,1.58306e-20,1.61963e-21,6.90348e-20,1.38736e-21,5.82565e-21,5.96015e-22,5.10593e-22,2.36245e-19,1.75999e-22,9.05535e-20,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,142267,54531.3
691200,1.38541e-07,1.73758e+08,4.47933e+09,1.13711e-08,2.78806e+11,2.73697e+12,3.30504e-08,6.41601e+09,3.59669e-07,155852,58689.4,2.66711e-07,1.20083e+07,336.994,0.149312,59663,52.903,22244.3,92998.5,8341.5,24.8209,7.8451,1.32358e-07,6.89536e+07,2.54087e+08,4.60526e-09,2.51826e+07,1.38504e+07,3.93995e+09,6.70503e+09,4.2497e+07,3.27873e+08,2.34544e-07,1.05359e-06,3.87721e-07,1.30864e+07,2.22293e+09,1.66495e-20,1.70713e-21,6.80138e-20,1.44074e-21,6.12701e-21,6.28216e-22,5.30238e-22,2.74762e-19,2.04815e-22,1.04978e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,165462,63217.8
777600,1.32847e-07,1.78488e+08,4.53301e+09,1.11313e-08,2.84335e+11,2.76527e+12,3.16537e-08,6.20513e+09,3.78021e-07,151288,56863.9,1.76185e-07,1.1979e+07,351.777,0.152576,59648.2,51.7719,22244.5,92998,8341.33,25.3633,8.01641,1.39112e-07,7.0043e+07,2.5209e+08,4.41063e-09,2.51828e+07,1.38049e+07,3.93985e+09,6.70458e+09,4.76366e+07,3.67732e+08,2.31928e-07,1.07234e-06,3.94622e-07,1.43438e+07,2.43721e+09,1.74996e-20,1.79824e-21,6.69875e-20,1.49478e-21,6.43984e-21,6.61743e-22,5.50124e-22,3.14487e-19,2.3455e-22,1.19887e-19,3.03e+09,5.16e+09,1e-12,1.6e+06,104000,0,189384,72196.1
