exp,IFNg_PDL1_half,IFNg_PDL1_n,PDL1_halflife,Tcell_halflife,Tcell_moveProb,cscKillFactor,vascular_core,vascular_margine,vascular_stromal,Tumor_growth,cancer_cell_baseline_death,k_C_death_by_T,cl_Nivo,Teff_PD1_tot,C1_PDL1_tot,Kd_PD1_PDL1,K_C1_PDLX_Teff_PD1,Kd_PD1_PDL2,mutatinoal burden,Antigen,k_Teff_transmig,k_Treg_transmig,k_Teff_inhibBy_Treg,Tumor_diameter_change
1,0.310892,0.155029,0.0295438,0.461787,0.456009,0.629522,0.153044,5.9033,2.08189,0.00888005,7.19E-05,0.783072,1.00E-06,46781.9,2.96E+06,1.95027,48.0659,5.86423,69.3,48.2064,8.33E-13,6.86E-13,9.95543,0.524576761
2,0.699957,0.368574,0.0936074,1.8866,0.347189,0.596537,0.625241,0.643522,1.90554,0.00810372,4.90E-05,0.709154,1.32E-06,53979.7,1.31E+06,0.881592,104.227,2.32326,16.361,137.627,3.85E-12,1.74E-13,17.125,0.338030005
3,0.0394793,2.67193,0.0224133,0.654787,0.444128,0.772163,1.92082,1.45233,0.339854,0.00972651,4.44E-05,0.280158,6.93E-07,62432.4,3.34E+06,34.6179,1864.47,6.20472,50.1857,13.4369,5.96E-13,8.31E-14,2.36608,0.229603747
4,0.157294,0.179093,0.0109587,1.03314,0.76397,0.184255,0.215834,1.98342,0.436682,0.0130586,4.32E-05,0.719997,1.30E-06,32069.4,1.17E+06,4.00984,333.211,0.723937,76.8945,8.5265,8.18E-13,2.60E-12,2.48347,0.72477901
5,0.127604,2.40496,0.111067,1.85539,0.467622,1.60541,4.59142,1.18752,0.111103,0.0129456,0.000111453,0.296064,1.61E-07,17152.8,544105,0.697921,127.242,1.13098,79.1479,24.9762,1.79E-12,1.21E-12,0.956272,0.487178493
6,0.861728,0.0735456,0.562003,0.18156,0.31044,0.322485,0.409716,1.69967,0.316448,0.0161481,0.00011201,0.436257,4.52E-07,245339,1.90E+07,2.13373,81.616,7.22762,14.9191,65.3457,1.73E-12,2.48E-12,63.5719,0.335134433
7,0.423641,1.17023,0.0422233,2.25751,0.148642,0.431547,0.622282,7.56243,6.8968,0.00463959,0.000109917,0.633283,6.19E-07,20279.7,4.29E+06,1.23702,182.48,1.10729,63.6217,44.1607,1.11E-11,1.43E-12,4.33143,0.426934613
8,0.174901,5.91818,1.22172,1.22685,0.793021,1.12004,9.63079,8.24337,0.153329,0.00479509,0.000592639,0.880734,1.11E-06,585124,843558,6.16012,45.0382,0.213418,27.359,645.544,9.37E-14,6.90E-13,5.73704,0.337580114
9,0.0287065,2.55733,0.0171857,1.00451,0.194282,0.167634,1.0031,0.677787,5.70905,0.0193213,0.000126033,0.472719,7.19E-07,7000.99,427242,14.5374,136.002,0.790516,99.2765,43.637,3.14E-12,2.87E-14,5.54188,0.9932316
10,0.0436265,1.0986,0.0870862,1.36871,0.237309,1.47311,0.444954,1.68657,0.249029,0.0139071,0.000137898,0.810836,6.51E-07,7483.56,1.66E+06,4.21121,1524.27,0.552355,43.9721,29.7375,2.63E-12,7.29E-12,4.13301,0.94751389
11,0.0200193,0.27054,0.175671,0.661635,0.546229,0.109281,4.99543,0.162804,0.589204,0.00906196,9.95E-05,2.04325,5.67E-07,339624,236526,5.37762,829.124,3.97929,53.2277,112.509,4.86E-13,4.01E-12,2.4188,0.431280756
12,0.0265296,0.471059,0.102891,0.312773,0.203259,0.105355,0.710654,0.117806,0.144098,0.01967,8.50E-05,0.982867,9.52E-07,59389.9,1.14E+06,0.262437,110.777,15.1766,62.7679,10.6537,4.91E-12,1.82E-12,2.89626,0.082977602
13,0.0122633,3.35834,0.578814,0.359303,0.245041,0.325219,5.8474,0.811204,6.14062,0.0122908,7.37E-05,1.13139,7.45E-07,475176,5.37E+06,55.1415,418.383,0.23501,45.9201,146.495,1.47E-12,1.01E-11,5.16297,0.927091302
14,0.280091,2.02493,0.0594797,2.31078,0.418386,0.172412,0.167078,0.159099,0.188951,0.00798067,7.83E-05,0.526791,6.57E-07,117451,803023,64.8463,79.5537,5.15662,48.6157,125.191,1.99E-12,3.91E-13,2.16039,0.258465523
15,0.376303,0.535548,0.0384102,5.17325,0.251725,1.29799,0.126457,0.464217,3.61677,0.0128777,6.69E-05,0.190954,3.58E-07,75111.5,436966,0.148805,395.329,0.573899,140.329,1165.91,1.87E-13,1.83E-13,4.68467,0.6943808
16,0.00864443,0.406176,0.776975,3.63924,0.842171,1.1306,0.39647,3.21346,0.494161,0.00717497,9.19E-05,1.2999,4.62E-07,27254.7,4.49E+06,3.06775,1422.05,2.15358,128.611,27.7704,1.19E-12,1.31E-13,1.20432,0.353824968
17,0.0590824,0.862946,0.172191,5.70623,0.146908,0.703776,6.58889,0.843341,3.52814,0.0128082,3.48E-05,0.820032,3.06E-07,119834,1.37E+06,0.349782,25.1923,2.2081,110.973,79.0344,1.23E-13,1.38E-12,0.255691,0.573021915
18,0.151837,0.468166,0.0769908,0.0442626,0.58596,0.365038,3.45778,1.63563,0.352432,0.0466925,0.000100001,0.300198,9.12E-07,63157.3,4.38E+06,1.51957,614.488,0.114869,101.058,61.982,6.03E-13,4.73E-13,3.16431,0.893461532
19,0.13253,0.1325,0.0117746,3.30239,0.215035,1.08477,4.53058,1.62288,8.4535,0.00848439,0.000115488,1.19283,1.17E-06,669357,943353,3.52136,101.087,0.631215,131.485,26.7472,1.66E-13,4.69E-13,1.8422,0.319305466
20,0.288556,0.722787,0.792678,13.8733,0.269926,0.293106,0.748938,0.139421,6.67367,0.00759084,0.000173429,4.53207,5.04E-07,326342,2.03E+06,3.66791,9.03248,2.05025,17.8665,80.923,1.14E-11,2.34E-13,81.8296,0.785414857
